Infinitiv	Präsens (er/sie/es)	Präteritum	Perfekt	Перевод	Beispiel	Перевод примера
aufgeben	gibt auf	gab auf	hat aufgegeben	сдаваться, отправлять	Ich gebe nie auf.	Я никогда не сдаюсь.
aufladen	lädt auf	lud auf	hat aufgeladen	заряжать, загружать	Ich muss mein Handy aufladen.	Мне нужно зарядить телефон.
aufnehmen	nimmt auf	nahm auf	hat aufgenommen	принимать, записывать	Wir nehmen das Gespräch auf.	Мы записываем разговор.
aufschreiben	schreibt auf	schrieb auf	hat aufgeschrieben	записывать	Schreib dir die Adresse auf.	Запиши себе адрес.
aufstehen	steht auf	stand auf	ist aufgestanden	вставать	Ich stehe um 7 Uhr auf.	Я встаю в 7 часов.
auf sein	ist auf	war auf	ist auf gewesen	быть открытым	Das Fenster war auf.	Окно было открыто.
auftreten	tritt auf	trat auf	ist aufgetreten	выступать	Der Sänger tritt heute Abend auf.	Певец выступает сегодня вечером.
aufwachsen	wächst auf	wuchs auf	ist aufgewachsen	вырастать	Ich bin in Berlin aufgewachsen.	Я вырос в Берлине.
aus sein	ist aus	war aus	ist aus gewesen	быть выключенным	Der Fernseher war aus.	Телевизор был выключен.
ausgeben	gibt aus	gab aus	hat ausgegeben	тратить, выдавать	Er gibt viel Geld aus.	Он тратит много денег.
ausladen	lädt aus	lud aus	hat ausgeladen	выгружать	Wir laden die Kisten aus dem Auto aus.	Мы выгружаем ящики из машины.
ausleihen	leiht aus	lieh aus	hat ausgeliehen	одалживать	Kann ich mir dein Buch ausleihen?	Могу я одолжить твою книгу?
aussehen	sieht aus	sah aus	hat ausgesehen	выглядеть	Du siehst heute gut aus.	Ты сегодня хорошо выглядишь.
aussprechen	spricht aus	sprach aus	hat ausgesprochen	произносить	Wie spricht man das Wort aus?	Как произносится это слово?
aussteigen	steigt aus	stieg aus	ist ausgestiegen	выходить (из транспорта)	Wir steigen an der nächsten Haltestelle aus.	Мы выходим на следующей остановке.
austragen	trägt aus	trug aus	hat ausgetragen	разносить	Er trägt Zeitungen aus.	Он разносит газеты.
ausziehen	zieht aus	zog aus	hat ausgezogen	раздеваться; выезжать	Zieh bitte die Schuhe aus.	Сними, пожалуйста, обувь.
backen	backt/bäckt	backte/bäckte	hat gebacken	печь	Meine Mutter backt einen Kuchen.	Моя мама печёт пирог.
beginnen	beginnt	begann	hat begonnen	начинать	Der Film beginnt um 20 Uhr.	Фильм начинается в 20 часов.
behalten	behält	behielt	hat behalten	сохранять, оставлять	Du kannst das Buch behalten.	Ты можешь оставить книгу себе.
bekommen	bekommt	bekam	hat bekommen	получать	Ich habe ein Geschenk bekommen.	Я получил подарок.
beraten	berät	beriet	hat beraten	консультировать	Der Arzt berät den Patienten.	Врач консультирует пациента.
beschließen	beschließt	beschloss	hat beschlossen	решать, постановлять	Wir haben beschlossen umzuziehen.	Мы решили переехать.
besprechen	bespricht	besprach	hat besprochen	обсуждать	Wir besprechen das Problem morgen.	Мы обсудим проблему завтра.
bestehen	besteht	bestand	hat bestanden	выдержать, существовать	Er hat die Prüfung bestanden.	Он сдал экзамен.
beziehen	bezieht	bezog	hat bezogen	получать, ссылаться	Wir beziehen eine neue Wohnung.	Мы заселяемся в новую квартиру.
bieten	bietet	bot	hat geboten	предлагать	Die Stadt bietet viele Möglichkeiten.	Город предлагает много возможностей.
bitten	bittet	bat	hat gebeten	просить	Ich bitte dich um Hilfe.	Я прошу тебя о помощи.
bleiben	bleibt	blieb	ist geblieben	оставаться	Ich bleibe heute zu Hause.	Я остаюсь сегодня дома.
braten	brät	briet	hat gebraten	жарить	Sie brät das Fleisch in der Pfanne.	Она жарит мясо на сковороде.
brechen	bricht	brach	hat gebrochen	ломать	Er hat sich den Arm gebrochen.	Он сломал руку.
brennen	brennt	brannte	hat gebrannt	гореть	Das Haus brennt!	Дом горит!
bringen	bringt	brachte	hat gebracht	приносить	Bring mir bitte ein Glas Wasser.	Принеси мне, пожалуйста, стакан воды.
dalassen	lässt da	ließ da	hat dagelassen	оставлять здесь	Lass das Buch da.	Оставь книгу здесь.
dasitzen	sitzt da	saß da	hat dagesessen	сидеть тут	Er saß den ganzen Tag da.	Он просидел тут весь день.
dazuschreiben	schreibt dazu	schrieb dazu	hat dazugeschrieben	дописывать	Schreib bitte deinen Namen dazu.	Допиши, пожалуйста, своё имя.
denken	denkt	dachte	hat gedacht	думать	Ich denke oft an dich.	Я часто думаю о тебе.
durchstreichen	streicht durch	strich durch	hat durchgestrichen	зачёркивать	Streich das falsche Wort durch.	Зачеркни неправильное слово.
dürfen	darf	durfte	hat gedurft	иметь разрешение, мочь	Darf ich hier rauchen?	Можно мне здесь курить?
einbrechen	bricht ein	brach ein	ist eingebrochen	вламываться	Ein Dieb ist eingebrochen.	Вор вломился.
eingeben	gibt ein	gab ein	hat eingegeben	вводить (данные)	Geben Sie das Passwort ein.	Введите пароль.
einhalten	hält ein	hielt ein	hat eingehalten	соблюдать	Bitte halten Sie die Regeln ein.	Пожалуйста, соблюдайте правила.
einladen	lädt ein	lud ein	hat eingeladen	приглашать	Ich lade dich zum Essen ein.	Я приглашаю тебя на ужин.
einnehmen	nimmt ein	nahm ein	hat eingenommen	принимать (лекарство), занимать	Nehmen Sie die Tabletten ein.	Примите таблетки.
einschlagen	schlägt ein	schlug ein	hat eingeschlagen	разбивать, ударять	Der Blitz hat eingeschlagen.	Ударила молния.
einsteigen	steigt ein	stieg ein	ist eingestiegen	садиться (в транспорт)	Bitte steigen Sie ein!	Пожалуйста, садитесь!
eintragen	trägt ein	trug ein	hat eingetragen	вносить, записывать	Tragen Sie Ihren Namen ein.	Впишите ваше имя.
einziehen	zieht ein	zog ein	hat eingezogen	вселяться	Wir ziehen nächste Woche ein.	Мы въезжаем на следующей неделе.
empfangen	empfängt	empfing	hat empfangen	принимать, встречать	Der Chef empfängt die Gäste.	Шеф встречает гостей.
empfehlen	empfiehlt	empfahl	hat empfohlen	рекомендовать	Ich empfehle dir dieses Restaurant.	Я рекомендую тебе этот ресторан.
entfallen	entfällt	entfiel	ist entfallen	выпадать из памяти	Sein Name ist mir entfallen.	Его имя вылетело у меня из головы.
entlanglaufen	läuft entlang	lief entlang	ist entlanggelaufen	бежать вдоль	Wir laufen den Fluss entlang.	Мы бежим вдоль реки.
entlassen	entlässt	entließ	hat entlassen	увольнять	Die Firma hat ihn entlassen.	Фирма его уволила.
entscheiden	entscheidet	entschied	hat entschieden	решать	Du musst dich entscheiden.	Ты должен решить.
entschließen	entschließt	entschloss	hat entschlossen	решаться	Er entschloss sich zu bleiben.	Он решился остаться.
entstehen	entsteht	entstand	ist entstanden	возникать	Hier entsteht ein neues Haus.	Здесь строится новый дом.
erfinden	erfindet	erfand	hat erfunden	изобретать	Wer hat das Telefon erfunden?	Кто изобрёл телефон?
ergeben	ergibt	ergab	hat ergeben	давать (результат)	Die Umfrage ergab ein klares Ergebnis.	Опрос дал ясный результат.
erkennen	erkennt	erkannte	hat erkannt	узнавать, распознавать	Ich habe ihn sofort erkannt.	Я сразу его узнал.
erziehen	erzieht	erzog	hat erzogen	воспитывать	Sie erzieht ihre Kinder streng.	Она строго воспитывает своих детей.
essen	isst	aß	hat gegessen	есть, кушать	Wir essen um 12 Uhr zu Mittag.	Мы обедаем в 12 часов.
fahren	fährt	fuhr	ist gefahren	ехать	Ich fahre mit dem Bus zur Arbeit.	Я еду на автобусе на работу.
fallen	fällt	fiel	ist gefallen	падать	Das Blatt fällt vom Baum.	Лист падает с дерева.
fernsehen	sieht fern	sah fern	hat ferngesehen	смотреть телевизор	Abends sehe ich gern fern.	По вечерам я люблю смотреть телевизор.
festhalten	hält fest	hielt fest	hat festgehalten	держать крепко	Halt dich fest!	Держись крепко!
festnehmen	nimmt fest	nahm fest	hat festgenommen	арестовывать	Die Polizei nahm den Dieb fest.	Полиция арестовала вора.
finden	findet	fand	hat gefunden	находить	Ich finde meinen Schlüssel nicht.	Я не нахожу свой ключ.
fliegen	fliegt	flog	ist geflogen	летать	Wir fliegen morgen nach Spanien.	Мы летим завтра в Испанию.
fliehen	flieht	floh	ist geflohen	бежать, спасаться	Die Familie floh aus dem Land.	Семья бежала из страны.
freihaben	hat frei	hatte frei	hat freigehabt	быть свободным (от работы)	Morgen habe ich frei.	Завтра у меня выходной.
frieren	friert	fror	hat gefroren	мёрзнуть	Mir friert, es ist sehr kalt.	Я мёрзну, очень холодно.
geben	gibt	gab	hat gegeben	давать	Gib mir bitte das Salz.	Дай мне, пожалуйста, соль.
gefallen	gefällt	gefiel	hat gefallen	нравиться	Der Film hat mir gut gefallen.	Фильм мне очень понравился.
gehen	geht	ging	ist gegangen	идти	Ich gehe jeden Tag zu Fuß.	Я хожу пешком каждый день.
gelingen	gelingt	gelang	ist gelungen	удаваться	Das Experiment ist gelungen.	Эксперимент удался.
gelten	gilt	galt	hat gegolten	действовать, считаться	Diese Regel gilt für alle.	Это правило действует для всех.
genießen	genießt	genoss	hat genossen	наслаждаться	Ich genieße die Sonne.	Я наслаждаюсь солнцем.
gewinnen	gewinnt	gewann	hat gewonnen	выигрывать	Er hat im Lotto gewonnen.	Он выиграл в лотерею.
großschreiben	schreibt groß	schrieb groß	hat großgeschrieben	писать с большой буквы	Nomen schreibt man groß.	Существительные пишут с большой буквы.
haben	hat	hatte	hat gehabt	иметь	Ich habe keine Zeit.	У меня нет времени.
halten	hält	hielt	hat gehalten	держать, останавливаться	Der Bus hält an der Ecke.	Автобус останавливается на углу.
hängen	hängt	hing	hat gehangen	висеть	Das Bild hing an der Wand.	Картина висела на стене.
heben	hebt	hob	hat gehoben	поднимать	Er hebt den schweren Koffer.	Он поднимает тяжёлый чемодан.
heißen	heißt	hieß	hat geheißen	называться	Ich heiße Anna.	Меня зовут Анна.
helfen	hilft	half	hat geholfen	помогать	Kannst du mir bitte helfen?	Можешь мне помочь, пожалуйста?
herausfinden	findet heraus	fand heraus	hat herausgefunden	выяснять	Ich muss die Wahrheit herausfinden.	Я должен выяснить правду.
hereinkommen	kommt herein	kam herein	ist hereingekommen	входить	Kommen Sie bitte herein!	Заходите, пожалуйста!
hierbleiben	bleibt hier	blieb hier	ist hiergeblieben	оставаться здесь	Bleib hier, ich komme gleich.	Оставайся здесь, я сейчас приду.
hierlassen	lässt hier	ließ hier	hat hiergelassen	оставлять здесь	Lass deine Tasche hier.	Оставь сумку здесь.
hinterlassen	hinterlässt	hinterließ	hat hinterlassen	оставлять (после себя)	Er hat eine Nachricht hinterlassen.	Он оставил сообщение.
kaputtgehen	geht kaputt	ging kaputt	ist kaputtgegangen	ломаться	Mein Handy ist kaputtgegangen.	Мой телефон сломался.
kennen	kennt	kannte	hat gekannt	знать	Ich kenne ihn gut.	Я его хорошо знаю.
kommen	kommt	kam	ist gekommen	приходить	Kommst du morgen zur Party?	Ты придёшь завтра на вечеринку?
können	kann	konnte	hat gekonnt	мочь, уметь	Ich kann gut schwimmen.	Я хорошо умею плавать.
krankschreiben	schreibt krank	schrieb krank	hat krankgeschrieben	выписывать больничный	Der Arzt hat mich krankgeschrieben.	Врач выписал мне больничный.
laden	lädt	lud	hat geladen	грузить	Wir laden die Möbel ins Auto.	Мы грузим мебель в машину.
laufen	läuft	lief	ist gelaufen	бежать, ходить	Das Kind läuft schnell.	Ребёнок бежит быстро.
leiden	leidet	litt	hat gelitten	страдать	Er leidet unter Kopfschmerzen.	Он страдает от головной боли.
leidtun	tut leid	tat leid	hat leidgetan	сожалеть	Es tut mir leid.	Мне жаль.
leihen	leiht	lieh	hat geliehen	одалживать	Leihst du mir zehn Euro?	Одолжишь мне десять евро?
lesen	liest	las	hat gelesen	читать	Ich lese gern Romane.	Я люблю читать романы.
liegen	liegt	lag	hat gelegen	лежать	Das Buch liegt auf dem Tisch.	Книга лежит на столе.
losgehen	geht los	ging los	ist losgegangen	отправляться	Wann gehen wir los?	Когда мы отправляемся?
loslaufen	läuft los	lief los	ist losgelaufen	побежать	Die Kinder liefen sofort los.	Дети тут же побежали.
los sein	ist los	war los	ist los gewesen	происходить	Was ist hier los?	Что здесь происходит?
lügen	lügt	log	hat gelogen	лгать	Du lügst! Das stimmt nicht.	Ты врёшь! Это неправда.
messen	misst	maß	hat gemessen	измерять	Die Ärztin misst den Blutdruck.	Врач измеряет давление.
mitbringen	bringt mit	brachte mit	hat mitgebracht	приносить с собой	Bring bitte Brot mit.	Принеси, пожалуйста, хлеб с собой.
mitfahren	fährt mit	fuhr mit	ist mitgefahren	ехать вместе	Kann ich mitfahren?	Могу я поехать с вами?
mitkommen	kommt mit	kam mit	ist mitgekommen	идти вместе	Kommst du mit ins Kino?	Пойдёшь с нами в кино?
mitlaufen	läuft mit	lief mit	ist mitgelaufen	бежать вместе	Er läuft beim Marathon mit.	Он бежит в марафоне вместе со всеми.
mitnehmen	nimmt mit	nahm mit	hat mitgenommen	брать с собой	Nimm einen Regenschirm mit.	Возьми с собой зонт.
mitsingen	singt mit	sang mit	hat mitgesungen	петь вместе	Alle singen das Lied mit.	Все поют песню вместе.
mögen	mag	mochte	hat gemocht	любить, нравиться	Ich mag Schokolade.	Я люблю шоколад.
müssen	muss	musste	hat gemusst	быть должным	Ich muss jetzt gehen.	Я должен сейчас идти.
nachkommen	kommt nach	kam nach	ist nachgekommen	следовать за	Ich komme gleich nach.	Я сейчас подойду.
nachsprechen	spricht nach	sprach nach	hat nachgesprochen	повторять (за кем-то)	Sprechen Sie bitte nach.	Повторяйте, пожалуйста.
nachweisen	weist nach	wies nach	hat nachgewiesen	доказывать	Man konnte ihm nichts nachweisen.	Ему ничего не смогли доказать.
nehmen	nimmt	nahm	hat genommen	брать	Ich nehme einen Kaffee.	Я возьму кофе.
nennen	nennt	nannte	hat genannt	называть	Alle nennen ihn Max.	Все называют его Макс.
offen stehen	steht offen	stand offen	hat offen gestanden	быть открытым	Die Tür steht offen.	Дверь открыта.
raten	rät	riet	hat geraten	советовать, угадывать	Ich rate dir, zum Arzt zu gehen.	Я советую тебе пойти к врачу.
rauskommen	kommt raus	kam raus	ist rausgekommen	выходить	Komm raus, die Sonne scheint!	Выходи, солнце светит!
rennen	rennt	rannte	ist gerannt	бежать	Die Kinder rennen im Park.	Дети бегают в парке.
reiten	reitet	ritt	ist geritten	ездить верхом	Sie reitet gern am Strand.	Она любит кататься верхом на пляже.
riechen	riecht	roch	hat gerochen	пахнуть, нюхать	Die Blumen riechen gut.	Цветы хорошо пахнут.
rufen	ruft	rief	hat gerufen	звать, кричать	Sie rief laut um Hilfe.	Она громко звала на помощь.
schießen	schießt	schoss	hat geschossen	стрелять	Der Spieler schießt ein Tor.	Игрок забивает гол.
schlagen	schlägt	schlug	hat geschlagen	бить, ударять	Mein Herz schlägt schnell.	Моё сердце бьётся быстро.
schlafen	schläft	schlief	hat geschlafen	спать	Das Baby schläft ruhig.	Малыш спит спокойно.
schließen	schließt	schloss	hat geschlossen	закрывать	Schließ bitte das Fenster.	Закрой, пожалуйста, окно.
schneiden	schneidet	schnitt	hat geschnitten	резать	Ich schneide das Brot.	Я режу хлеб.
schreiben	schreibt	schrieb	hat geschrieben	писать	Er schreibt einen Brief.	Он пишет письмо.
schreien	schreit	schrie	hat geschrien	кричать	Das Kind schreit laut.	Ребёнок громко кричит.
schweigen	schweigt	schwieg	hat geschwiegen	молчать	Er schwieg die ganze Zeit.	Он молчал всё время.
schwimmen	schwimmt	schwamm	ist geschwommen	плавать	Ich schwimme gern im Meer.	Я люблю плавать в море.
sehen	sieht	sah	hat gesehen	видеть	Ich sehe einen Vogel am Himmel.	Я вижу птицу в небе.
sein	ist	war	ist gewesen	быть	Ich bin müde.	Я устал.
singen	singt	sang	hat gesungen	петь	Sie singt ein schönes Lied.	Она поёт красивую песню.
sitzen	sitzt	saß	hat gesessen	сидеть	Er sitzt auf dem Stuhl.	Он сидит на стуле.
sollen	soll	sollte	hat gesollt	быть должным (по чужой воле)	Du sollst mehr lernen.	Тебе следует больше учиться.
spazieren gehen	geht spazieren	ging spazieren	ist spazieren gegangen	гулять	Wir gehen im Park spazieren.	Мы гуляем в парке.
sprechen	spricht	sprach	hat gesprochen	говорить	Er spricht drei Sprachen.	Он говорит на трёх языках.
springen	springt	sprang	ist gesprungen	прыгать	Das Kind springt ins Wasser.	Ребёнок прыгает в воду.
stattfinden	findet statt	fand statt	hat stattgefunden	состояться	Das Konzert findet morgen statt.	Концерт состоится завтра.
stehen	steht	stand	hat gestanden	стоять	Er steht an der Haltestelle.	Он стоит на остановке.
stehen bleiben	bleibt stehen	blieb stehen	ist stehen geblieben	останавливаться	Bleib stehen! Es ist rot.	Стой! Красный свет.
stehlen	stiehlt	stahl	hat gestohlen	красть	Jemand hat mein Fahrrad gestohlen.	Кто-то украл мой велосипед.
sterben	stirbt	starb	ist gestorben	умирать	Die Pflanze ist gestorben.	Растение погибло.
stinken	stinkt	stank	hat gestunken	вонять	Der Müll stinkt furchtbar.	Мусор ужасно воняет.
streiten	streitet	stritt	hat gestritten	спорить, ссориться	Die Kinder streiten um das Spielzeug.	Дети спорят из-за игрушки.
teilnehmen	nimmt teil	nahm teil	hat teilgenommen	участвовать	Ich nehme am Kurs teil.	Я участвую в курсе.
tragen	trägt	trug	hat getragen	нести, носить	Sie trägt eine rote Tasche.	Она несёт красную сумку.
treffen	trifft	traf	hat getroffen	встречать, попадать	Ich treffe mich mit Freunden.	Я встречаюсь с друзьями.
trinken	trinkt	trank	hat getrunken	пить	Trinkst du Kaffee oder Tee?	Ты пьёшь кофе или чай?
tun	tut	tat	hat getan	делать	Was kann ich für dich tun?	Что я могу для тебя сделать?
übersehen	übersieht	übersah	hat übersehen	не заметить	Ich habe den Fehler übersehen.	Я не заметил ошибку.
überweisen	überweist	überwies	hat überwiesen	переводить (деньги)	Ich überweise dir das Geld.	Я переведу тебе деньги.
übrig bleiben	bleibt übrig	blieb übrig	ist übrig geblieben	оставаться (в остатке)	Es ist noch Kuchen übrig geblieben.	Ещё остался торт.
sich umsehen	sieht sich um	sah sich um	hat sich umgesehen	осматриваться	Ich sehe mich in der Stadt um.	Я осматриваюсь в городе.
umsteigen	steigt um	stieg um	ist umgestiegen	пересаживаться	Sie müssen in München umsteigen.	Вам нужно пересесть в Мюнхене.
umziehen	zieht um	zog um	ist umgezogen	переезжать	Wir ziehen nächsten Monat um.	Мы переезжаем в следующем месяце.
unterbrechen	unterbricht	unterbrach	hat unterbrochen	прерывать	Unterbrich mich bitte nicht.	Не перебивай меня, пожалуйста.
untergehen	geht unter	ging unter	ist untergegangen	тонуть, заходить (солнце)	Die Sonne geht um 20 Uhr unter.	Солнце садится в 20 часов.
unterhalten	unterhält	unterhielt	hat unterhalten	развлекать, беседовать	Wir unterhalten uns gern.	Мы любим беседовать.
unterschreiben	unterschreibt	unterschrieb	hat unterschrieben	подписывать	Unterschreiben Sie bitte hier.	Подпишите, пожалуйста, здесь.
unterstreichen	unterstreicht	unterstrich	hat unterstrichen	подчёркивать	Unterstreichen Sie die richtige Antwort.	Подчеркните правильный ответ.
verbieten	verbietet	verbot	hat verboten	запрещать	Der Arzt verbietet ihm das Rauchen.	Врач запрещает ему курить.
verbinden	verbindet	verband	hat verbunden	соединять	Die Brücke verbindet zwei Städte.	Мост соединяет два города.
verbrennen	verbrennt	verbrannte	hat verbrannt	сжигать	Er hat sich die Hand verbrannt.	Он обжёг руку.
vergeben	vergibt	vergab	hat vergeben	прощать	Ich vergebe dir.	Я тебя прощаю.
vergessen	vergisst	vergaß	hat vergessen	забывать	Ich habe den Termin vergessen.	Я забыл о встрече.
vergleichen	vergleicht	verglich	hat verglichen	сравнивать	Man kann die zwei Bücher vergleichen.	Можно сравнить эти две книги.
vermeiden	vermeidet	vermied	hat vermieden	избегать	Vermeide Fehler beim Schreiben.	Избегай ошибок при письме.
verraten	verrät	verriet	hat verraten	предавать, выдавать	Verrate mir dein Geheimnis!	Раскрой мне свой секрет!
verschreiben	verschreibt	verschrieb	hat verschrieben	выписывать (рецепт)	Der Arzt verschreibt ein Medikament.	Врач выписывает лекарство.
verschwinden	verschwindet	verschwand	ist verschwunden	исчезать	Die Katze ist verschwunden.	Кошка исчезла.
versprechen	verspricht	versprach	hat versprochen	обещать	Ich verspreche dir, pünktlich zu sein.	Я обещаю тебе быть вовремя.
verstehen	versteht	verstand	hat verstanden	понимать	Ich verstehe die Frage nicht.	Я не понимаю вопрос.
vertreten	vertritt	vertrat	hat vertreten	представлять, замещать	Er vertritt seinen Kollegen.	Он замещает своего коллегу.
vorkommen	kommt vor	kam vor	ist vorgekommen	встречаться, случаться	Das kann jedem vorkommen.	Это может случиться с каждым.
vorlesen	liest vor	las vor	hat vorgelesen	читать вслух	Die Mutter liest dem Kind vor.	Мама читает ребёнку вслух.
vorschlagen	schlägt vor	schlug vor	hat vorgeschlagen	предлагать	Ich schlage einen Ausflug vor.	Я предлагаю экскурсию.
wach bleiben	bleibt wach	blieb wach	ist wach geblieben	бодрствовать	Ich bin die ganze Nacht wach geblieben.	Я не спал всю ночь.
wahrnehmen	nimmt wahr	nahm wahr	hat wahrgenommen	воспринимать	Ich nehme einen Geruch wahr.	Я чувствую запах.
waschen	wäscht	wusch	hat gewaschen	мыть, стирать	Ich wasche mir die Hände.	Я мою руки.
wegfahren	fährt weg	fuhr weg	ist weggefahren	уезжать	Er fährt morgen weg.	Он уезжает завтра.
weggehen	geht weg	ging weg	ist weggegangen	уходить	Geh nicht weg!	Не уходи!
wehtun	tut weh	tat weh	hat wehgetan	причинять боль	Mein Kopf tut weh.	У меня болит голова.
weitergeben	gibt weiter	gab weiter	hat weitergegeben	передавать дальше	Gib die Information weiter.	Передай информацию дальше.
weitergehen	geht weiter	ging weiter	ist weitergegangen	идти дальше	Gehen Sie bitte weiter.	Проходите, пожалуйста.
werden	wird	wurde	ist geworden	становиться	Er wird Lehrer.	Он станет учителем.
widersprechen	widerspricht	widersprach	hat widersprochen	возражать	Er widerspricht seinem Chef.	Он возражает своему начальнику.
wiederkommen	kommt wieder	kam wieder	ist wiedergekommen	возвращаться	Komm bald wieder!	Возвращайся скорее!
wiegen	wiegt	wog	hat gewogen	весить, взвешивать	Das Baby wiegt drei Kilo.	Малыш весит три килограмма.
wollen	will	wollte	hat gewollt	хотеть	Ich will Deutsch lernen.	Я хочу учить немецкий.
ziehen	zieht	zog	hat gezogen	тянуть, тащить	Zieh bitte die Tür zu.	Потяни, пожалуйста, дверь.
ziehen (Umzug)	zieht	zog	ist gezogen	переезжать	Wir sind nach Berlin gezogen.	Мы переехали в Берлин.
zunehmen	nimmt zu	nahm zu	hat zugenommen	набирать вес, увеличиваться	Er hat im Winter zugenommen.	Он набрал вес зимой.
zurückbekommen	bekommt zurück	bekam zurück	hat zurückbekommen	получать обратно	Ich habe mein Geld zurückbekommen.	Я получил свои деньги обратно.
zurückfahren	fährt zurück	fuhr zurück	ist zurückgefahren	ехать обратно	Wir fahren morgen zurück.	Мы едем обратно завтра.
zurückgehen	geht zurück	ging zurück	ist zurückgegangen	возвращаться	Geh zurück ins Haus!	Вернись в дом!
zurückliegen	liegt zurück	lag zurück	hat zurückgelegen	быть в прошлом	Das liegt schon Jahre zurück.	Это было уже много лет назад.
zurückrufen	ruft zurück	rief zurück	hat zurückgerufen	перезванивать	Ich rufe dich später zurück.	Я перезвоню тебе позже.
zusammenbleiben	bleibt zusammen	blieb zusammen	ist zusammengeblieben	оставаться вместе	Wir bleiben für immer zusammen.	Мы останемся вместе навсегда.
zusammenhalten	hält zusammen	hielt zusammen	hat zusammengehalten	держаться вместе	Die Familie hält zusammen.	Семья держится вместе.
zusammenhängen	hängt zusammen	hing zusammen	hat zusammengehangen	быть связанным	Die zwei Probleme hängen zusammen.	Эти две проблемы связаны.
zu sein	ist zu	war zu	ist zu gewesen	быть закрытым	Der Laden war zu.	Магазин был закрыт.
zutreffen	trifft zu	traf zu	hat zugetroffen	подходить, соответствовать	Das trifft auf mich zu.	Это ко мне относится.
