Deutsch	Перевод	Beispiel	Перевод примера
der Kaufmann, -männer / die Kauffrau, -en	коммерсант	Die Kauffrau arbeitet im Handel.	Коммерсантка работает в торговле.
die Kaufleute (Pl.)	коммерсанты	Die Kaufleute verhandeln die Preise.	Коммерсанты обсуждают цены.
der Pflegehelfer, – / die Pflegehelferin, -nen	помощник по уходу	Die Pflegehelferin hilft den Patienten.	Помощница по уходу помогает пациентам.
=== 7 ===	 	 	 
=== Berufe (7) ===	 	 	 
der Apotheker, – / die Apothekerin, -nen	аптекарь	Die Apothekerin berät die Kunden.	Аптекарша консультирует клиентов.
der Buchhändler, – / die Buchhändlerin, -nen	книготорговец	Der Buchhändler empfiehlt ein Buch.	Книготорговец рекомендует книгу.
der Fliesenleger, – / die Fliesenlegerin, -nen	плиточник	Der Fliesenleger legt Fliesen im Bad.	Плиточник кладёт плитку в ванной.
der Flugbegleiter, – / die Flugbegleiterin, -nen	бортпроводник	Die Flugbegleiterin begrüßt die Passagiere.	Бортпроводница приветствует пассажиров.
der Gärtner, – / die Gärtnerin, -nen	садовник	Der Gärtner pflegt den Garten.	Садовник ухаживает за садом.
der Gebäudereiniger, – / die Gebäudereinigerin, -nen	уборщик зданий	Der Gebäudereiniger reinigt das Büro.	Уборщик зданий убирает офис.
der Krankenpfleger, – / die Krankenpflegerin, -nen	медбрат / медсестра	Die Krankenpflegerin pflegt die Patienten.	Медсестра ухаживает за пациентами.
=== Berufsfelder ===	 	 	 
das Berufsfeld, -er	профессиональная область	Es gibt viele verschiedene Berufsfelder.	Есть много разных профессиональных областей.
die Verwaltung (Sg.)	управление, администрация	Er arbeitet in der Verwaltung.	Он работает в администрации.
die Bildung (Sg.)	образование	Bildung ist sehr wichtig.	Образование очень важно.
das Handwerk (Sg.)	ремесло	Im Handwerk gibt es viele Berufe.	В ремесле много профессий.
die Gastronomie (Sg.)	гастрономия	Die Gastronomie sucht Personal.	Гастрономия ищет персонал.
die Landwirtschaft (Sg.)	сельское хозяйство	Die Landwirtschaft ist wichtig für das Land.	Сельское хозяйство важно для страны.
der Handel (Sg.)	торговля	Der Handel wächst jedes Jahr.	Торговля растёт каждый год.
die Logistik (Sg.)	логистика	Die Logistik organisiert den Transport.	Логистика организует перевозки.
dazugehören	принадлежать к	Er möchte dazugehören.	Он хочет принадлежать к ним.
infrage kommen	подходить, быть вариантом	Nachts zu arbeiten kommt für mich nicht infrage.	Работать по ночам для меня не вариант.
die Nachtarbeit (Sg.)	ночная работа	Nachtarbeit ist schlecht für die Gesundheit.	Ночная работа вредна для здоровья.
die Sauberkeit (Sg.)	чистота	Sauberkeit ist in der Küche wichtig.	Чистота на кухне важна.
das Trinkgeld, -er	чаевые	Der Gast gibt Trinkgeld.	Гость оставляет чаевые.
die Vorliebe, -n	предпочтение, пристрастие	Er hat eine Vorliebe für Technik.	У него пристрастие к технике.
