Deutsch	Перевод	Beispiel	Перевод примера
vorlegen	предъявлять	Bitte legen Sie ein Dokument vor.	Пожалуйста, предъявите документ.
die Demokratie, -en	демократия	Die Demokratie ist wichtig.	Демократия важна.
auswählen	выбирать	Wählen Sie eine Antwort aus.	Выберите ответ.
englischsprachig	англоязычный	Das ist ein englischsprachiges Land.	Это англоязычная страна.
der Deutschtest, -s	тест по немецкому	Der Deutschtest ist nicht schwer.	Тест по немецкому несложный.
=== 4 ===	 	 	 
biometrisch	биометрический	Das Passfoto muss biometrisch sein.	Фото на паспорт должно быть биометрическим.
die Kopfbedeckung, -en	головной убор	Kopfbedeckungen sind auf dem Foto nicht erlaubt.	Головные уборы на фото не разрешены.
das Kopftuch, -tücher	платок (головной)	Sie trägt ein Kopftuch.	Она носит платок.
religiös	религиозный	Das ist ein religiöses Symbol.	Это религиозный символ.
erkennen	узнавать, распознавать	Man muss die Person erkennen können.	Нужно уметь распознать человека.
das Passbild, -er	фото на паспорт	Das Passbild muss aktuell sein.	Фото на паспорт должно быть актуальным.
strahlen	сиять, улыбаться	Sie strahlt auf dem Foto.	Она сияет на фото.
stinken	вонять	Der Müll stinkt.	Мусор воняет.
vergangen	прошлый, прошедший	Im vergangenen Jahr war ich in Berlin.	В прошлом году я был в Берлине.
das Vorjahr, -e	предыдущий год	Im Vorjahr gab es weniger Anträge.	В предыдущем году было меньше заявлений.
belohnen	вознаграждать	Harte Arbeit wird belohnt.	Тяжёлый труд вознаграждается.
sinken ↔ steigen	снижаться ↔ расти	Die Preise sinken.	Цены снижаются.
heimlich	тайно	Er hat heimlich gefilmt.	Он тайно снимал.
filmen	снимать (на видео)	Darf man hier filmen?	Можно здесь снимать?
die Kriminalpolizei (Sg.)	уголовная полиция	Die Kriminalpolizei ermittelt.	Уголовная полиция ведёт расследование.
der Verbrecher, – / die Verbrecherin, -nen	преступник / преступница	Der Verbrecher wurde gefasst.	Преступник был пойман.
fassen	ловить, хватать	Die Polizei hat den Täter gefasst.	Полиция поймала преступника.
die Gewerkschaft, -en	профсоюз	Die Gewerkschaft kämpft für bessere Löhne.	Профсоюз борется за лучшие зарплаты.
beschließen	решать, принимать решение	Das Parlament hat das Gesetz beschlossen.	Парламент принял закон.
=== 5 ===	 	 	 
die Vertretung, -en	замещение, представительство	Ich brauche eine Vertretung.	Мне нужна замена.
der Pfeil, -e	стрелка	Der Pfeil zeigt nach rechts.	Стрелка указывает направо.
die Begründung, -en	обоснование	Die Begründung ist überzeugend.	Обоснование убедительно.
auf keinen Fall	ни в коем случае	Das geht auf keinen Fall.	Это ни в коем случае не пойдёт.
runterbringen	снести вниз	Bringst du den Müll runter?	Снесёшь мусор вниз?
=== 6 ===	 	 	 
der Anstieg (Sg.)	рост, подъём	Der Anstieg der Mieten ist ein Problem.	Рост арендной платы — проблема.
der Neubürger, – / die Neubürgerin, -nen	новый гражданин	Die Neubürger wurden begrüßt.	Новых граждан поприветствовали.
der Gewinn (Sg.)	выигрыш, прибыль	Der Gewinn für die Gesellschaft ist groß.	Выигрыш для общества большой.
der Innenminister, –	министр внутренних дел	Der Innenminister hat gesprochen.	Министр внутренних дел выступил.
die Einbürgerungsurkunde, -n	свидетельство о гражданстве	Die Einbürgerungsurkunde ist ein wichtiges Dokument.	Свидетельство о гражданстве — важный документ.
der Arbeitsmigrant, -en / die Arbeitsmigrantin, -nen	трудовой мигрант	Die Arbeitsmigranten kamen in den 60er-Jahren.	Трудовые мигранты приехали в 60-х годах.
die Deutschkenntnisse (Pl.)	знания немецкого языка	Gute Deutschkenntnisse sind wichtig.	Хорошие знания немецкого языка важны.
nachweisen	доказывать, подтверждать	Sie müssen Ihre Sprachkenntnisse nachweisen.	Вы должны подтвердить знание языка.
beitragen	вносить вклад	Sie haben mit ihrer Arbeit zum Erfolg beigetragen.	Они своим трудом внесли вклад в успех.
doppelt	двойной	Die doppelte Staatsbürgerschaft ist möglich.	Двойное гражданство возможно.
die Staatsbürgerschaft, -en	гражданство	Er hat die deutsche Staatsbürgerschaft.	У него немецкое гражданство.
=== 7 ===	 	 	 
der Standpunkt, -e	точка зрения	Das ist mein Standpunkt.	Это моя точка зрения.
der Daumen, –	большой палец	Ich drücke dir die Daumen!	Держу за тебя кулачки!
drücken	нажимать, давить	Drücken Sie den Knopf.	Нажмите кнопку.
erwerben	приобретать	Er will die deutsche Staatsbürgerschaft erwerben.	Он хочет приобрести немецкое гражданство.
hierbleiben	остаться здесь	Ich möchte hierbleiben.	Я хочу остаться здесь.
die Nordsee (Sg.)	Северное море	Wir fahren an die Nordsee.	Мы едем на Северное море.
die Vokabel, -n	слово (из словаря)	Ich muss Vokabeln lernen.	Мне нужно учить слова.
=== 8 ===	 	 	 
die Lebensqualität (Sg.)	качество жизни	Die Lebensqualität ist hoch.	Качество жизни высокое.
die Digitalisierung (Sg.)	цифровизация	Die Digitalisierung verändert die Arbeitswelt.	Цифровизация меняет мир труда.
die Bürokratie (Sg.)	бюрократия	Die Bürokratie ist kompliziert.	Бюрократия сложная.
hervorragend	выдающийся, отличный	Das Essen war hervorragend.	Еда была отличной.
Folgendes	следующее	Letze Woche habe ich Folgendes erlebt: ...	На прошлой неделе я пережил следующее: ...
aggressiv	агрессивный	Der Hund ist aggressiv.	Собака агрессивная.
der Titel, –	титул, заголовок	Der Titel des Buches ist lang.	Заголовок книги длинный.
ungeduldig	нетерпеливый	Sei nicht so ungeduldig!	Не будь таким нетерпеливым!
